date;holding_num;holding_perc
20171018;                                29193000;                                2.41%

20171019;                                29108000;                                2.40%

20171020;                                29099000;                                2.40%

20171021;                                29049000;                                2.40%

20171023;                                29049000;                                2.40%

20171024;                                28891000;                                2.38%

20171025;                                28263000;                                2.33%

20171026;                                28225000;                                2.33%

20171027;                                27978000;                                2.31%

20171028;                                27905000;                                2.30%

20171029;                                27905000;                                2.30%

20171030;                                27905000;                                2.30%

20171031;                                27895000;                                2.30%

20171101;                                27866000;                                2.30%

20171102;                                27813000;                                2.30%

20171103;                                27767000;                                2.29%

20171104;                                27815000;                                2.30%

